Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"GLOUP 000139 id2.",66.828,-28.32,Truth_Pelagic,0.407,237.04,0.242,271.1,0.07,231.02,0.07,266.97,0.08,121.25,0.032,112.15,0.026,117.79,0.004,116.82,Deep
"GLOUP 000146   marf",-36.012,-31.999,Truth_Pelagic,0.105,221.79,0.049,205.47,0.037,255.69,0.014,191.28,0.045,180.45,0.069,116.17,0.015,170.97,0.02,88.56,Deep
"GLOUP 000147   myr9",-55.492,-59.728,Truth_Pelagic,0.403,274.48,0.178,320.71,0.067,245.4,0.05,319.04,0.17,78.25,0.186,55.46,0.056,73.48,0.044,40.78,Deep
"GLOUP 000172   tdca",-11.033,-35.533,Truth_Pelagic,0.257,18.77,0.091,38.84,0.059,4.37,0.025,34.98,0.018,142.81,0.018,112.39,0.006,141.92,0.004,90.12,Deep
"GLOUP 000173   tdcb",-14.483,-37,Truth_Pelagic,0.205,4.57,0.07,22.81,0.051,349.48,0.019,18.14,0.019,147.73,0.023,101.95,0.006,142.7,0.007,75.23,Deep
"GLOUP 000176   tdcc",-11.15,-38.517,Truth_Pelagic,0.252,10.91,0.089,28.21,0.059,357.8,0.025,23.01,0.018,134.27,0.017,88.92,0.005,130.24,0.005,65.6,Deep
"GLOUP 000182 amst",77.583,-37.901,Truth_Pelagic,0.417,228.99,0.228,271.97,0.077,212.78,0.064,268.73,0.076,146.19,0.036,165.99,0.023,147.16,0.009,180.02,Deep
"HOME PN1     Guiles",-163.749,28.692,Truth_Pelagic,0.117,337.1,0.072,341.44,0.024,333.9,0.021,333.7,0.145,247.9,0.086,241.3,0.045,244.6,0.015,242.3,Deep
"HOME PN2     Apr200",-161.945,26.875,Truth_Pelagic,0.123,346,0.074,350.02,0.024,343.7,0.022,342.4,0.156,242.7,0.09,234.8,0.048,239.3,0.015,235.5,Deep
"HOME PN3     Apr200",-164.322,26.822,Truth_Pelagic,0.113,356.9,0.062,351.87,0.024,352.8,0.018,342.4,0.144,243.7,0.084,238.1,0.045,240.8,0.014,240.6,Deep
"HOME PN5 Apr200",-156.694,25.401,Truth_Pelagic,0.145,347.8,0.084,0.05,0.027,345.7,0.025,353.4,0.173,236.8,0.099,226,0.054,233.6,0.016,224.2,Deep
"HOME PN6     Apr200",-153.082,23.843,Truth_Pelagic,0.166,2.3,0.09,12.28,0.033,359.8,0.026,5.1,0.19,233,0.107,220.9,0.058,229.3,0.017,216.9,Deep
"HOME PS1     Apr200",-161.137,16.429,Truth_Pelagic,0.214,68.9,0.071,83.54,0.04,61.6,0.019,71,0.119,222.8,0.062,213.8,0.037,219.2,0.009,213.3,Deep
"HOME PS4 Apr200",-158.9945715,13.7425155,Truth_Pelagic,0.23,59.9,0.077,72.01,0.044,51.1,0.021,59.5,0.139,223.6,0.074,213,0.043,220.4,0.011,210.6,Deep
"HOME PS5     Apr200",-154.496,17.175,Truth_Pelagic,0.243,44.3,0.09,54.38,0.048,34.6,0.025,44.5,0.15,225.2,0.082,212,0.046,222,0.013,208,Deep
"HOME PS6     Apr200",-151.669,20.575,Truth_Pelagic,0.201,25.5,0.091,33.54,0.042,18.3,0.026,25.7,0.174,229,0.098,215.4,0.054,225.5,0.016,211.6,Deep
"IAPSO 1.1.67    43",-21.867,43.033,Truth_Pelagic,0.622,84,0.209,110.02,0.136,67,0.059,108,0.056,90,0.034,335,0.018,83,0.01,295,Deep
"IAPSO 1.1.68/69",-15.49,44.98,Truth_Pelagic,0.848,92.63,0.289,121.8,0.183,73.64,0.083,119.47,0.067,83.46,0.052,334.15,0.021,75.98,0.017,286.09,Deep
"IAPSO 1.1.71    57",-10.083,57.15,Truth_Pelagic,1.022,169,0.387,203.7,0.205,148,0.108,200,0.103,123,0.074,357,0.033,113,0.028,307,Deep
"IAPSO 1.1.72    33",-29.4,33.983,Truth_Pelagic,0.363,43,0.147,61.35,0.077,29,0.041,58,0.032,66,0.022,298,0.011,60,0.007,251,Deep
"IAPSO 1.1.78    59",-7.683,59.2,Truth_Pelagic,0.931,193,0.356,226.63,0.189,171,0.108,224,0.091,147,0.079,368,0.026,136,0.027,323,Deep
"IAPSO 1.2.101   37",-67.983,37.8,Truth_Pelagic,0.413,353,0.088,20.14,0.095,332,0.021,23,0.078,177,0.06,183,0.025,177,0.014,182,Deep
"IAPSO 1.2.107   26",-75.9,26.55,Truth_Pelagic,0.366,1,0.061,23.91,0.083,339,0.016,24,0.09,195,0.069,198,0.028,195,0.015,188,Deep
"IAPSO 1.2.36    44",-40.5,44.483,Truth_Pelagic,0.144,31,0.059,48.44,0.033,18,0.017,49,0.047,140,0.019,123,0.016,138,0.001,118,Deep
"IAPSO 1.2.37    46",-46.567,46.067,Truth_Pelagic,0.147,341,0.064,18.94,0.03,330,0.018,14,0.059,158,0.038,138,0.02,157,0.006,121,Deep
"IAPSO 1.2.38    33",-41.183,33.917,Truth_Pelagic,0.253,10,0.1,35.97,0.052,356,0.027,33,0.02,133,0.014,225,0.006,134,0.005,226,Deep
"IAPSO 1.2.39    26",-43.967,26.583,Truth_Pelagic,0.148,329,0.061,2.28,0.026,311,0.018,357,0.013,219,0.03,233,0.005,225,0.008,224,Deep
"IAPSO 1.2.53 57",-58.95,57.033,Truth_Pelagic,0.645,304,0.237,333.67,0.142,285,NaN,NaN,0.121,164,0.079,125,NaN,NaN,NaN,NaN,Deep
"IAPSO 1.2.63    54",-52.783,54.033,Truth_Pelagic,0.396,295,0.162,327.44,0.085,278,NaN,NaN,0.097,159,0.072,125,NaN,NaN,NaN,NaN,Deep
"IAPSO 1.2.65    51",-52.983,51.667,Truth_Pelagic,0.328,303,0.149,336.4,0.07,290,NaN,NaN,0.089,160,0.06,126,NaN,NaN,NaN,NaN,Deep
"IAPSO 1.2.77    35",-74.05,35.483,Truth_Pelagic,0.425,353,0.083,15.46,0.095,335,0.02,21,0.089,183,0.071,186,0.029,183,0.016,185,Deep
"IAPSO 1.2.93    37",-69.25,37.283,Truth_Pelagic,0.417,353,0.087,18.8,0.096,332,0.021,23,0.08,178,0.062,183,0.026,178,0.014,184,Deep
"IAPSO 1.2.98    36",-68.25,36.65,Truth_Pelagic,0.411,353,0.087,18.73,0.094,332,0.021,23,0.077,178,0.06,184,0.025,178,0.013,184,Deep
"IAPSO 1.3.12    19",-47.517,19,Truth_Pelagic,0.21,251,0.069,284.51,0.044,229,0.02,285,0.039,248,0.049,233,0.014,247,0.011,222,Deep
"IAPSO 1.3.17 0",-9.983,-0.017,Truth_Pelagic,0.33,160,0.117,183.54,0.081,147,0.031,181,0.085,344,0.017,245,0.026,340,0.006,142,Deep
"IAPSO 1.3.18 0",6,0.017,Truth_Pelagic,0.506,96,0.177,124.65,0.109,90,0.046,119,0.113,354,0.018,309,0.033,350,0.004,104,Deep
"IAPSO 1.4.34    34",17.8,-34.583,Truth_Pelagic,0.496,33,0.216,53.99,0.109,25,0.06,50,0.055,112,0.015,234,0.015,109,0.008,211,Deep
"IAPSO 2.1.17    56",-144.367,56.133,Truth_Pelagic,0.955,283,0.311,315.26,0.198,258,0.079,307,0.434,266,0.27,250,0.137,262,0.05,242,Deep
"IAPSO 2.1.52    53",-154.283,53.417,Truth_Pelagic,0.718,298,0.247,326.44,0.148,275,0.067,319,0.417,273,0.264,258,0.13,270,0.048,251,Deep
"IAPSO 2.2.9 33",137.583,33.767,Truth_Pelagic,0.412,255,0.189,279.04,0.071,250,0.053,275,0.213,47,0.162,28,0.068,47,0.033,19,Deep
"IAPSO 2.3.6      2",164.417,-2,Truth_Pelagic,0.517,139,0.304,151.46,0.108,139,0.086,146,0.155,58,0.091,37,0.048,55,0.017,19,Deep
"IAPSO 4.1.4     44",146.217,-44.117,Truth_Pelagic,0.12,353,0.06,116.03,0.037,306,0.015,122,0.186,275,0.129,254,0.059,270,0.03,236,Deep
"KESS_b1  2004-2006",144.57,37.11,Truth_Pelagic,0.25,192.34,0.124,230.55,0.026,180.1,0.035,224.09,0.212,28.12,0.171,10.05,0.068,26.17,0.035,359.94,Deep
"KESS_b3  2004-2006",146.46,37.1,Truth_Pelagic,0.226,188.28,0.115,229.19,0.021,171.87,0.032,222.24,0.203,26.41,0.165,7.9,0.066,24.01,0.034,358.36,Deep
