Station,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs,Location
"Minamitorishima",153.976896,24.282516,JMA,0.079000,143.533005,0.048000,189.723007,nan,nan,nan,nan,0.098000,43.266998,0.077000,20.797001,nan,nan,nan,nan,Deep
"Miyakejima (Ako)",139.476906,34.067538,JMA,0.345000,236.973007,0.166000,263.852997,nan,nan,nan,nan,0.221000,45.117001,0.173000,25.896999,nan,nan,nan,nan,Deep
"Miyakejima (Tsubota)",139.546328,34.056076,JMA,0.365000,232.690002,0.168000,260.179993,nan,nan,nan,nan,0.229000,35.939999,0.180000,17.510000,nan,nan,nan,nan,Deep
"Murotomisaki",134.161710,33.262863,JMA,0.494000,264.846985,0.218000,289.377014,nan,nan,nan,nan,0.221000,54.423000,0.170000,34.382999,nan,nan,nan,nan,Deep
"Nakanoshima",129.849147,29.837693,JMA,0.587000,296.269989,0.255000,321.549988,nan,nan,nan,nan,0.233000,68.720001,0.180000,48.840000,nan,nan,nan,nan,Deep
"Nezugaseki",139.543241,38.562064,JMA,0.052000,173.809998,0.020000,206.679993,nan,nan,nan,nan,0.052000,211.309998,0.052000,185.029999,nan,nan,nan,nan,Deep
"Niihama",133.270143,33.984212,JMA,1.107000,52.926998,0.413000,87.467003,nan,nan,nan,nan,0.327000,102.572998,0.238000,79.583000,nan,nan,nan,nan,Deep
"Nishinoomote",130.988381,30.735468,JMA,0.589000,292.730011,0.258000,317.970001,nan,nan,nan,nan,0.230000,68.260002,0.180000,48.580002,nan,nan,nan,nan,Deep
"Noto",137.155276,37.500911,JMA,0.058000,165.820007,0.021000,192.039993,nan,nan,nan,nan,0.054000,209.160004,0.054000,182.149994,nan,nan,nan,nan,Deep
"Oga",139.707556,39.951892,JMA,0.051000,182.190002,0.020000,217.380005,nan,nan,nan,nan,0.054000,213.929993,0.053000,189.419998,nan,nan,nan,nan,Deep
"Ogi",138.282711,37.815294,JMA,0.056000,169.552994,0.020000,198.473007,nan,nan,nan,nan,0.053000,209.447006,0.054000,183.947006,nan,nan,nan,nan,Deep
"Okushiri",139.458185,42.062022,JMA,0.053000,186.792999,0.022000,220.593002,nan,nan,nan,nan,0.048000,200.647003,0.045000,179.447006,nan,nan,nan,nan,Deep
"Oma",140.900000,41.533333,JMA,0.202000,184.850006,0.094000,222.509995,nan,nan,nan,nan,0.097000,16.180000,0.072000,0.700000,nan,nan,nan,nan,Deep
"Rausu",145.198434,44.016798,JMA,0.173000,163.880005,0.077000,207.979996,nan,nan,nan,nan,0.198000,52.209999,0.200000,31.570000,nan,nan,nan,nan,Deep
"Setana",139.845601,42.452612,JMA,0.049000,189.690002,0.022000,223.789993,nan,nan,nan,nan,0.059000,200.919998,0.057000,171.369995,nan,nan,nan,nan,Deep
"Shinminato",137.114779,36.782061,JMA,0.058000,166.647003,0.021000,193.787003,nan,nan,nan,nan,0.052000,209.742996,0.052000,182.903000,nan,nan,nan,nan,Deep
"Shiraoi",141.319242,42.516683,JMA,0.312000,182.436996,0.145000,221.067001,nan,nan,nan,nan,0.233000,24.663000,0.188000,8.133000,nan,nan,nan,nan,Deep
"Shonanko",139.478838,35.304457,JMA,0.360000,230.263000,0.170000,257.653015,nan,nan,nan,nan,0.232000,39.337002,0.183000,19.087000,nan,nan,nan,nan,Deep
"Tappi",140.379448,41.243305,JMA,0.128000,195.412994,0.061000,231.203003,nan,nan,nan,nan,0.060000,50.626999,0.049000,39.286999,nan,nan,nan,nan,Deep
"Tobishima",139.550545,39.184034,JMA,0.053000,174.759995,0.020000,207.679993,nan,nan,nan,nan,0.053000,210.429993,0.054000,185.389999,nan,nan,nan,nan,Deep
"Tomakomainishi",141.618105,42.628178,JMA,0.313000,182.436996,0.146000,221.186996,nan,nan,nan,nan,0.233000,24.833000,0.186000,7.813000,nan,nan,nan,nan,Deep
"Urakawa",142.755423,42.165522,JMA,0.305000,182.287003,0.142000,221.367004,nan,nan,nan,nan,0.234000,25.683001,0.196000,7.623000,nan,nan,nan,nan,Deep
"Wakayama",135.140430,34.219896,JMA,0.437000,277.440002,0.212000,298.890015,nan,nan,nan,nan,0.241000,57.080002,0.184000,36.070000,nan,nan,nan,nan,Deep
"Yaizu",138.333596,34.867798,JMA,0.409000,248.033005,0.189000,273.763000,nan,nan,nan,nan,0.229000,44.597000,0.174000,23.097000,nan,nan,nan,nan,Deep
"Yonaguni",122.940312,24.450342,JMA,0.444000,306.600006,0.190000,329.149994,nan,nan,nan,nan,0.201000,96.949997,0.167000,73.919998,nan,nan,nan,nan,Deep
"Yoshima",133.820878,34.382811,JMA,0.903000,57.646999,0.314000,88.586998,nan,nan,nan,nan,0.323000,99.583000,0.240000,75.572998,nan,nan,nan,nan,Deep
"Yoshioka",140.261121,41.476210,JMA,0.147000,208.013000,0.067000,244.132996,nan,nan,nan,nan,0.108000,69.976997,0.094000,55.637001,nan,nan,nan,nan,Deep
"Anheung",126.131646,36.675153,KHAO,2.101000,201.266998,0.824000,245.190002,0.387000,184.505997,0.231000,240.442001,0.355000,154.641006,0.270000,125.914001,0.106000,148.569000,0.053000,105.725998,Deep
